##File Type: Far field
##File Format: 5
##Source: dipole
##Date: 2019-03-18 11:10:03
** File exported by POSTFEKO version 2018-319328 (x64)

#Configuration Name: StandardConfiguration1
#Request Name: FarField1
#Frequency: 8.66000000E+08
#Coordinate System: Spherical
#No. of Theta Samples: 73
#No. of Phi Samples: 37
#Result Type: Gain
#No. of Header Lines: 1
                 "Theta"           "Phi"             "Re(Etheta)"      "Im(Etheta)"      "Re(Ephi)"        "Im(Ephi)"        "Gain(Theta)"     "Gain(Phi)"       "Gain(Total)"     
                   9.00000000E+01    5.00000000E+00    1.86664449E-18    3.15237641E-18    3.48440777E-01    5.88444394E-01   -3.43293458E+02    2.12788972E+00    2.12788972E+00   
                   9.50000000E+01    5.00000000E+00   -2.65695033E-03   -4.48703388E-03    3.48446129E-01    5.88452698E-01   -4.02270291E+01    2.12801511E+00    2.12826761E+00   
                   1.00000000E+02    5.00000000E+00   -5.29392143E-03   -8.94029224E-03    3.48462044E-01    5.88477284E-01   -3.42391730E+01    2.12838677E+00    2.12938902E+00   
                   1.05000000E+02    5.00000000E+00   -7.89106998E-03   -1.33262294E-02    3.48488043E-01    5.88517351E-01   -3.07720469E+01    2.12899286E+00    2.13121909E+00   
                   1.10000000E+02    5.00000000E+00   -1.04288237E-02   -1.76117615E-02    3.48523332E-01    5.88571636E-01   -2.83501163E+01    2.12981435E+00    2.13370119E+00   
                   1.15000000E+02    5.00000000E+00   -1.28880166E-02   -2.17644995E-02    3.48566821E-01    5.88638472E-01   -2.65111732E+01    2.13082595E+00    2.13675913E+00   
                   1.20000000E+02    5.00000000E+00   -1.52500256E-02   -2.57529816E-02    3.48617181E-01    5.88715854E-01   -2.50495672E+01    2.13199706E+00    2.14029963E+00   
                   1.25000000E+02    5.00000000E+00   -1.74969062E-02   -2.95469039E-02    3.48672889E-01    5.88801483E-01   -2.38558456E+01    2.13329268E+00    2.14421524E+00   
                   1.30000000E+02    5.00000000E+00   -1.96115278E-02   -3.31173466E-02    3.48732279E-01    5.88892814E-01   -2.28649402E+01    2.13467418E+00    2.14838733E+00   
                   1.35000000E+02    5.00000000E+00   -2.15777056E-02   -3.64369961E-02    3.48793576E-01    5.88987098E-01   -2.20351643E+01    2.13610004E+00    2.15268935E+00   
                   1.40000000E+02    5.00000000E+00   -2.33803290E-02   -3.94803597E-02    3.48854934E-01    5.89081457E-01   -2.13383581E+01    2.13752688E+00    2.15699044E+00   
                   1.45000000E+02    5.00000000E+00   -2.50054850E-02   -4.22239758E-02    3.48914470E-01    5.89172981E-01   -2.07547632E+01    2.13891076E+00    2.16115943E+00   
                   1.50000000E+02    5.00000000E+00   -2.64405764E-02   -4.46466131E-02    3.48970330E-01    5.89258838E-01   -2.02701429E+01    2.14020883E+00    2.16506909E+00   
                   1.55000000E+02    5.00000000E+00   -2.76744349E-02   -4.67294589E-02    3.49020766E-01    5.89336390E-01   -1.98740691E+01    2.14138103E+00    2.16860037E+00   
                   1.60000000E+02    5.00000000E+00   -2.86974248E-02   -4.84562888E-02    3.49064215E-01    5.89403283E-01   -1.95588564E+01    2.14239164E+00    2.17164636E+00   
                   1.65000000E+02    5.00000000E+00   -2.95015355E-02   -4.98136162E-02    3.49099367E-01    5.89457516E-01   -1.93188784E+01    2.14321042E+00    2.17411546E+00   
                   1.70000000E+02    5.00000000E+00   -3.00804580E-02   -5.07908164E-02    3.49125204E-01    5.89497479E-01   -1.91501219E+01    2.14381329E+00    2.17593390E+00   
